"created_at";"updated_at";"deleted_at";"name";"classification";"parse";"metaphone";"name_variations"
"";"";"";"ALDENIZA";"F";"ALDENIZA (ADZ)";"ADZ";"|ALBENISA|ALBENIZA|ALDENISA|ALDENIZA|"
"";"";"";"ALDENISE";"F";"ALDENISE (ADS)";"ADS";"|ALBENISE|ALBENIZE|ALDENISE|ALDENIZE|ELDENISE|ELDENIZE|HILDENISE|ILDENISE|ILDENIZE|"
"";"";"";"ALDENIZIA";"F";"ALDENIZIA (ADZ)";"ADZ";"|ALBENISIA|ALBENIZIA|ALDENISIA|ALDENIZIA|"
"";"";"";"ALDENISIO";"M";"ALDENISIO (ADS)";"ADS";"|ALBENISIO|ALBENIZIO|ALDENISIO|ALDENIZIO|"
"";"";"";"ALDENITA";"F";"ALDENITA (ADT)";"ADT";"|ALBENITA|ALDENITA|"
"";"";"";"ALDENOR";"M";"ALDENOR (ADR)";"ADR";"|ALBENO|ALBENOR|ALDENO|ALDENOR|ELDENOR|HILDENOR|ILDENOR|"
"";"";"";"ALBENZIO";"M";"ALBENZIO (ABZ)";"ABZ";"|ALBENZIO|"
"";"";"";"ALDERACI";"M";"ALDERACI (ADS)";"ADS";"|ALBERACI|ALDERACI|"
"";"";"";"ALBERANI";"M";"ALBERANI (AB)";"AB";"|ALBERANI|ALBERANIR|"
"";"";"";"ALDERCI";"M";"ALDERCI (ADRS)";"ADRS";"|ALBERCI|ALBERCIR|ALDERCI|ALDERCIR|"
"";"";"";"ALBERCIO";"M";"ALBERCIO (ABRS)";"ABRS";"|ALBERCIO|"
"";"";"";"ALBERDAN";"M";"ALBERDAN (ABRDM)";"ABRDM";"|ALBERDAM|ALBERDAN|"
"";"";"";"ALBERES";"M";"ALBERES (ABS)";"ABS";"|ALBERES|ALDERES|ALDEREZ|"
"";"";"";"ALBERI";"M";"ALBERI (AB)";"AB";"|ALBERI|ALBERIR|ALBERY|ALDERI|ALDERIR|ALDERY|ILDERI|OLDERI|"
"";"";"";"ALBERIA";"F";"ALBERIA (AB)";"AB";"|ALBERIA|ALDERIA|"
"";"";"";"ALBERIC";"M";"ALBERIC (ABK)";"ABK";"|ALBERIC|"
"";"";"";"ALBERICA";"F";"ALBERICA (ABK)";"ABK";"|ALBERICA|ALDERICA|HILDERICA|ILDERICA|"
"";"";"";"ALDERICE";"F";"ALDERICE (ADS)";"ADS";"|ALBERICE|ALDERICE|"
"";"";"";"ALBERICIO";"M";"ALBERICIO (ABS)";"ABS";"|ALBERICIO|ALDERICIO|"
"";"";"";"ALBERICO";"M";"ALBERICO (ABK)";"ABK";"|ALBERICO|ALDERICO|HILDERICO|ILDERICO|OLDERICO|ULDERICO|"
"";"";"";"ALBERIDES";"M";"ALBERIDES (ABDS)";"ABDS";"|ALBERIDES|"
"";"";"";"ALDERINA";"F";"ALDERINA (AD)";"AD";"|ALBERINA|ALDERINA|"
"";"";"";"ALDERINO";"M";"ALDERINO (AD)";"AD";"|ALBERINO|ALDERINO|"
"";"";"";"ALBERIO";"M";"ALBERIO (AB)";"AB";"|ALBERIO|ALDERIO|"
"";"";"";"ALBERIONE";"M";"ALBERIONE (AB)";"AB";"|ALBERIONE|"
"";"";"";"ALBERIS";"M";"ALBERIS (ABS)";"ABS";"|ALBERIS|ALDERIS|"
"";"";"";"ALDERIZA";"F";"ALDERIZA (ADZ)";"ADZ";"|ALBERISA|ALBERIZA|ALDERISA|ALDERIZA|"
"";"";"";"ALBERISON";"M";"ALBERISON (ABSM)";"ABSM";"|ALBERISON|"
"";"";"";"ALDERITA";"F";"ALDERITA (ADT)";"ADT";"|ALBERITA|ALDERITA|"
"";"";"";"ALDERITO";"M";"ALDERITO (ADT)";"ADT";"|ALBERITO|ALDERITO|"
"";"";"";"ALDERLAN";"M";"ALDERLAN (ADRlM)";"ADRlM";"|ALBERLAM|ALBERLAN|ALDERLAM|ALDERLAN|ELDERLAN|HILDERLAN|ILDERLAN|"
"";"";"";"ALBERLANDIA";"F";"ALBERLANDIA (ABRlD)";"ABRlD";"|ALBERLANDIA|ALDERLANDIA|HILDERLANDIA|ILDERLANDIA|"
"";"";"";"ALBERLANDIO";"M";"ALBERLANDIO (ABRlD)";"ABRlD";"|ALBERLANDIO|ALDERLANDIO|HILDERLANDIO|ILDERLANDIO|"
"";"";"";"ALDERLANE";"F";"ALDERLANE (ADRl)";"ADRl";"|ALBERLANE|ALDERLANE|ELDERLANE|HILDERLANE|ILDERLANE|"
"";"";"";"ALBERLANIA";"F";"ALBERLANIA (ABRl)";"ABRl";"|ALBERLANIA|ALDERLANIA|HILDERLANIA|ILDERLANIA|"
"";"";"";"ALBERLANIO";"M";"ALBERLANIO (ABRl)";"ABRl";"|ALBERLANIO|ALDERLANIO|ILDERLANIO|"
"";"";"";"ALDERLEI";"M";"ALDERLEI (ADR)";"ADR";"|ALBERLEI|ALBERLI|ALDERLEI|ALDERLEY|ALDERLI|ELDERLEI|ILDERLEI|"
"";"";"";"ALDERLENE";"F";"ALDERLENE (ADR)";"ADR";"|ALBERLENE|ALDERLENE|HILDERLENE|ILDERLENE|"
"";"";"";"ALBERO";"M";"ALBERO (AB)";"AB";"|ALBERO|ALBERYO|"
"";"";"";"ALBERON";"M";"ALBERON (ABM)";"ABM";"|ALBERON|ALDERON|"
"";"";"";"ALBERONE";"M";"ALBERONE (AB)";"AB";"|ALBERONE|"
"";"";"";"ALBERONI";"M";"ALBERONI (AB)";"AB";"|ALBERONI|"
"";"";"";"ALBERONIO";"M";"ALBERONIO (AB)";"AB";"|ALBERONIO|"
"";"";"";"ELDERSON";"M";"ELDERSON (IDRSM)";"IDRSM";"|ALBERSON|ALDERSON|ELBERSON|ELDERSOM|ELDERSON|HELBERSON|HELDERSON|HILDERSON|ILDERSON|UELDERSON|"
"";"";"";"ALBERT";"M";"ALBERT (ABRT)";"ABRT";"|ALBERT|ALBERTH|ELBERT|ELBERTH|HALBERT|HELBERT|HELBERTH|HILBERT|HILBERTH|ILBERT|UELBERT|UILBERT|"
"";"";"";"ALBERTA";"F";"ALBERTA (ABRT)";"ABRT";"|ALBERTA|"
"";"";"";"ALBERTE";"M";"ALBERTE (ABRT)";"ABRT";"|ALBERTE|ELBERTE|HELBERTE|HILBERTE|ILBERTE|UELBERTE|"
"";"";"";"ALBERTI";"M";"ALBERTI (ABRT)";"ABRT";"|ALBERTI|ALBERTY|ELBERTI|ELBERTY|HELBERTI|HELBERTY|UELBERTI|"
"";"";"";"ALBERTIN";"M";"ALBERTIN (ABRTM)";"ABRTM";"|ALBERTIM|ALBERTIN|"
"";"";"";"ALBERTINA";"F";"ALBERTINA (ABRT)";"ABRT";"|ALBERTINA|ELBERTINA|"
"";"";"";"ALBERTINE";"M";"ALBERTINE (ABRT)";"ABRT";"|ALBERTINE|"
"";"";"";"ALBERTINO";"M";"ALBERTINO (ABRT)";"ABRT";"|ALBERTINHO|ALBERTINO|"
"";"";"";"ALBERTINI";"M";"ALBERTINI (ABRT)";"ABRT";"|ALBERTINI|"
"";"";"";"ALBERTO";"M";"ALBERTO (ABRT)";"ABRT";"|ALBERTO|ALDERTO|ELBERTO|HALBERTO|HELBERTO|HILBERTO|HULBERTO|ILBERTO|LBERTO|OLBERTO|ULBERTO|"
"";"";"";"ELBERTON";"M";"ELBERTON (IBRTM)";"IBRTM";"|ALBERTON|ELBERTON|HELBERTON|"
"";"";"";"ALBERTONE";"M";"ALBERTONE (ABRT)";"ABRT";"|ALBERTONE|"
"";"";"";"ALBERTONI";"M";"ALBERTONI (ABRT)";"ABRT";"|ALBERTONI|"
"";"";"";"ALBERTONIO";"M";"ALBERTONIO (ABRT)";"ABRT";"|ALBERTONIO|"
"";"";"";"ALBERVAN";"M";"ALBERVAN (ABRVM)";"ABRVM";"|ALBERVAN|ALDERVAN|ELDERVAN|ILDERVAN|"
"";"";"";"ALBERVANIA";"F";"ALBERVANIA (ABRV)";"ABRV";"|ALBERVANIA|"
"";"";"";"ALBETANIA";"F";"ALBETANIA (ABT)";"ABT";"|ALBETANIA|"
"";"";"";"ALBETIZA";"F";"ALBETIZA (ABTZ)";"ABTZ";"|ALBETISA|ALBETIZA|"
"";"";"";"ALBETO";"M";"ALBETO (ABT)";"ABT";"|ALBETO|"
"";"";"";"ALDEVANIA";"F";"ALDEVANIA (ADV)";"ADV";"|ALBEVANIA|ALDEVANIA|HILDEVANIA|ILDEVANIA|"
"";"";"";"ALDIANA";"F";"ALDIANA (AD)";"AD";"|ALBIANA|ALDAINA|ALDIANA|ELBIANA|ELDIANA|ILDIANA|"
"";"";"";"ALDIANE";"F";"ALDIANE (AD)";"AD";"|ALBIANE|ALDAINE|ALDIANE|ELBIANE|ELDIANE|HILDIANE|ILDIANE|LDIANE|"
"";"";"";"ALBIEGE";"F";"ALBIEGE (ABJ)";"ABJ";"|ALBIEGE|"
"";"";"";"ALDIENE";"F";"ALDIENE (AD)";"AD";"|ALBIENE|ALDIENE|ELDIENE|"
"";"";"";"ALDILENE";"F";"ALDILENE (AD)";"AD";"|ALBILENE|ALDALENE|ALDELENE|ALDILENE|ELBILENE|ELDILENE|HILDELENE|HILDILENE|ILDALENE|ILDELENE|ILDILENE|"
"";"";"";"ALDIMAR";"M";"ALDIMAR (ADMR)";"ADMR";"|ALBIMAR|ALDIMA|ALDIMAR|ELDIMA|ELDIMAR|HILDIMAR|ILDIMA|ILDIMAR|OLDIMAR|"
"";"";"";"ALDIN";"M";"ALDIN (ADM)";"ADM";"|ALBIN|ALDIM|ALDIN|ELDIN|"
"";"";"";"ALBINA";"F";"ALBINA (AB)";"AB";"|ALBINA|ALDEINA|ALDINA|ALDINAR|ALDINHA|ALDUINA|ELBINA|ELDINA|ELDINAR|ELDINHA|HELDINA|HOLDINA|ILDINA|OLDINA|ULDINA|"
"";"";"";"ALDINEI";"M";"ALDINEI (AD)";"AD";"|ALBINEI|ALDINEI|ALDINEY|ALDINI|ALDINIR|ELDINEI|ELDINEY|HILDINEI|ILDINEI|ILDINEY|OLDINEI|"
"";"";"";"ALDINEIA";"F";"ALDINEIA (ADI)";"ADI";"|ALBINEIA|ALDINEIA|ELDINEIA|HILDINEIA|ILDINEIA|OLDINEIA|"
"";"";"";"ALDINE";"F";"ALDINE (AD)";"AD";"|ALBINE|ALBINER|ALDINE|ALDINER|ELDINE|ILDINE|"
"";"";"";"ALDINETE";"F";"ALDINETE (ADT)";"ADT";"|ALBINETE|ALDINETE|ELDINETE|ILDINETE|"
"";"";"";"ALBINO";"M";"ALBINO (AB)";"AB";"|ALBINO|ALBUINO|ALDEINO|ALDINHO|ALDINO|ALDINOR|ALDUINO|ELBINO|ELDINHO|ELDINO|"
"";"";"";"ELBIO";"M";"ELBIO (IB)";"IB";"|ALBIO|ALDIO|ELBIO|ELDIO|HELBIO|HELDIO|"
"";"";"";"ALBION";"M";"ALBION (ABM)";"ABM";"|ALBION|"
"";"";"";"ALDIRAN";"M";"ALDIRAN (ADM)";"ADM";"|ALBIRAN|ALDIRAM|ALDIRAN|"
"";"";"";"ELDIS";"M";"ELDIS (IDS)";"IDS";"|ALBIS|ALDEIS|ALDIS|ELBIS|ELDIS|ILDIS|UELDIS|"
"";"";"";"ELDISON";"M";"ELDISON (IDSM)";"IDSM";"|ALBISON|ALDEISON|ALDISON|ELBISON|ELDISON|HULDISON|ILDISON|UILDISON|ULDISON|"
"";"";"";"ALBNER";"M";"ALBNER (ABR)";"ABR";"|ALBNER|"
"";"";"";"ALDONEI";"M";"ALDONEI (AD)";"AD";"|ALBONI|ALBONIR|ALDONEI|ALDONEY|ALDONI|ALDONIR|ILDONEI|"
"";"";"";"ALBORINA";"F";"ALBORINA (ABR)";"ABR";"|ALBORINA|ALDORINA|"
"";"";"";"ALBRECHT";"M";"ALBRECHT (ABRXT)";"ABRXT";"|ALBRECHT|"
"";"";"";"ALBRTO";"M";"ALBRTO (ABRT)";"ABRT";"|ALBRTO|"
"";"";"";"ALBURINA";"F";"ALBURINA (ABR)";"ABR";"|ALBURINA|"
"";"";"";"ALCANTARA";"M";"ALCANTARA (AKTR)";"AKTR";"|ALCANTARA|"
"";"";"";"ALCEA";"F";"ALCEA (AS)";"AS";"|ALCEA|ILCEA|"
"";"";"";"ALCEANE";"F";"ALCEANE (AS)";"AS";"|ALCEANE|"
"";"";"";"ALCEANO";"M";"ALCEANO (AS)";"AS";"|ALCEANO|"
"";"";"";"ALCEBIADES";"M";"ALCEBIADES (ASBDS)";"ASBDS";"|ALCEBIADES|"
"";"";"";"ALCEBIAS";"M";"ALCEBIAS (ASBS)";"ASBS";"|ALCEBIAS|"
"";"";"";"ALCEBIDES";"M";"ALCEBIDES (ASBDS)";"ASBDS";"|ALCEBIDES|"
"";"";"";"ALCEDINO";"M";"ALCEDINO (ASD)";"ASD";"|ALCEBINO|ALCEDINO|"
"";"";"";"ALCEDINA";"F";"ALCEDINA (ASD)";"ASD";"|ALCEDINA|"
"";"";"";"ALCEDIR";"M";"ALCEDIR (ASDR)";"ASDR";"|ALCEBIR|ALCEDI|ALCEDIR|"
"";"";"";"ALCEDO";"M";"ALCEDO (ASD)";"ASD";"|ALCEDO|"
"";"";"";"ALCIR";"M";"ALCIR (ASR)";"ASR";"|ALCEI|ALCEIR|ALCI|ALCIR|ALCY|ALCYR|ELCI|ELCIR|ELCY|ELCYR|ELKI|ELKY|HELCI|HELCIR|HELCY|ILCI|ILKI|OLCI|OLCIR|"
"";"";"";"ALCEIA";"F";"ALCEIA (ASI)";"ASI";"|ALCEIA|ILCEIA|"
"";"";"";"ALCILENE";"F";"ALCILENE (AS)";"AS";"|ALCELENE|ALCILENE|ELCILENE|HELCILENE|HILCILENE|ILCELENE|ILCILENE|LCILENE|"
"";"";"";"ALCELI";"F";"ALCELI (AS)";"AS";"|ALCELI|ALCELIR|ALCELY|ALCIELI|ALCIELY|ALCILEI|ALCILEY|ALCIOLI|ELCELI|ELCILEI|ILCELI|"
"";"";"";"ALCELIA";"F";"ALCELIA (AS)";"AS";"|ALCELIA|ALCIELIA|ALCILIA|ALCLAIR|ELCELIA|ELCILIA|ILCELIA|"
"";"";"";"ALCELINA";"F";"ALCELINA (AS)";"AS";"|ALCELINA|ALCILINA|ELCELINA|"
"";"";"";"ALCELINO";"M";"ALCELINO (AS)";"AS";"|ALCELINO|ALCILINO|"
"";"";"";"ALCELIO";"M";"ALCELIO (AS)";"AS";"|ALCELIO|ALCIELIO|ALCILIO|ELCILIO|"
"";"";"";"ALCEMAR";"M";"ALCEMAR (ASMR)";"ASMR";"|ALCEMA|ALCEMAR|ILCEMAR|"
"";"";"";"ALCEMARA";"F";"ALCEMARA (ASMR)";"ASMR";"|ALCEMARA|ILCEMARA|"
"";"";"";"ALCEMIR";"M";"ALCEMIR (ASMR)";"ASMR";"|ALCEMI|ALCEMIR|ELCEMIR|"
"";"";"";"ALCEMIRA";"F";"ALCEMIRA (ASM)";"ASM";"|ALCEMIRA|"
"";"";"";"ALCEMIRO";"M";"ALCEMIRO (ASM)";"ASM";"|ALCEMIRO|"
"";"";"";"ALCENA";"F";"ALCENA (AS)";"AS";"|ALCENA|"
"";"";"";"ALCENDINA";"F";"ALCENDINA (ASD)";"ASD";"|ALCENDINA|"
"";"";"";"ALCENDINO";"M";"ALCENDINO (ASD)";"ASD";"|ALCENDINO|"
"";"";"";"ALCENIR";"M";"ALCENIR (ASR)";"ASR";"|ALCENI|ALCENIR|ALCENY|ALCENYR|ELCENI|ELCENIR|ILCENI|ILCENIR|"
"";"";"";"ALCENIDES";"M";"ALCENIDES (ASDS)";"ASDS";"|ALCENIDES|"
"";"";"";"ALCENIL";"M";"ALCENIL (AS)";"AS";"|ALCENIL|"
"";"";"";"ALCENILDE";"F";"ALCENILDE (ASD)";"ASD";"|ALCENILDE|"
"";"";"";"ALCENIO";"M";"ALCENIO (AS)";"AS";"|ALCENIO|"
"";"";"";"ALCENIRA";"F";"ALCENIRA (AS)";"AS";"|ALCENIRA|ELCENIRA|"
"";"";"";"ALCENIRO";"M";"ALCENIRO (AS)";"AS";"|ALCENIRO|"
"";"";"";"ALCENITA";"F";"ALCENITA (AST)";"AST";"|ALCENITA|"
"";"";"";"ALCENO";"M";"ALCENO (AS)";"AS";"|ALCENO|ALCENOR|"
"";"";"";"ALCEO";"M";"ALCEO (AS)";"AS";"|ALCEO|"
"";"";"";"ALCEONE";"M";"ALCEONE (AS)";"AS";"|ALCEONE|"
"";"";"";"ALCERI";"M";"ALCERI (AS)";"AS";"|ALCERI|"
"";"";"";"ALCERIO";"M";"ALCERIO (AS)";"AS";"|ALCERIO|"
"";"";"";"ALCESTE";"M";"ALCESTE (ASST)";"ASST";"|ALCESTE|"
"";"";"";"ALCEU";"M";"ALCEU (AS)";"AS";"|ALCEU|ELCEU|ILCEU|"
"";"";"";"ELCIA";"F";"ELCIA (IS)";"IS";"|ALCIA|ELCIA|ELKIA|HELCIA|ILCIA|"
"";"";"";"ALCIADES";"M";"ALCIADES (ASDS)";"ASDS";"|ALCIADES|"
"";"";"";"ALCIAN";"M";"ALCIAN (ASM)";"ASM";"|ALCIAN|"
"";"";"";"ALCIANA";"F";"ALCIANA (AS)";"AS";"|ALCIANA|ELCIANA|LCIANA|"
"";"";"";"ALCIANDRA";"F";"ALCIANDRA (ASDR)";"ASDR";"|ALCIANDRA|"
"";"";"";"ALCIANE";"F";"ALCIANE (AS)";"AS";"|ALCIANE|ELCIANE|ELKIANE|HELCIANE|ILCIANE|LCIANE|"
"";"";"";"ALCIANI";"F";"ALCIANI (AS)";"AS";"|ALCIANI|"
"";"";"";"ALCIANO";"M";"ALCIANO (AS)";"AS";"|ALCIANO|ELCIANO|LCIANO|"
"";"";"";"ALCIARA";"F";"ALCIARA (ASR)";"ASR";"|ALCIARA|"
"";"";"";"ALCIBERTO";"M";"ALCIBERTO (ASBRT)";"ASBRT";"|ALCIBERTO|"
"";"";"";"ALCIDIA";"F";"ALCIDIA (ASD)";"ASD";"|ALCIBIA|ALCIDIA|ELCIDIA|"
"";"";"";"ALCIBIADES";"M";"ALCIBIADES (ASBDS)";"ASBDS";"|ALCIBIADES|"
"";"";"";"ALCIDINO";"M";"ALCIDINO (ASD)";"ASD";"|ALCIBINO|ALCIDINO|"
"";"";"";"ALCIDIO";"M";"ALCIDIO (ASD)";"ASD";"|ALCIBIO|ALCIDIO|ELCIDIO|"
"";"";"";"ALCICIO";"M";"ALCICIO (ASS)";"ASS";"|ALCICIO|"
"";"";"";"ALCICLEA";"F";"ALCICLEA (ASK)";"ASK";"|ALCICLEA|"
"";"";"";"ALCICLEI";"M";"ALCICLEI (ASK)";"ASK";"|ALCICLEI|ALCICLEY|ELCICLEI|"
"";"";"";"ALCICLEIA";"F";"ALCICLEIA (ASKI)";"ASKI";"|ALCICLEIA|ELCICLEIA|"
"";"";"";"ALCICLEIDE";"F";"ALCICLEIDE (ASKD)";"ASKD";"|ALCICLEIDE|ELCICLEIDE|"
"";"";"";"ALCIDA";"F";"ALCIDA (ASD)";"ASD";"|ALCIDA|ELCIDA|"
"";"";"";"ALCIDELIA";"F";"ALCIDELIA (ASD)";"ASD";"|ALCIDALIA|ALCIDELIA|"
"";"";"";"ALCIDE";"M";"ALCIDE (ASD)";"ASD";"|ALCIDE|ALCIDER|ALCIEIDE|ELCIDE|"
"";"";"";"ALCIDEA";"F";"ALCIDEA (ASD)";"ASD";"|ALCIDEA|"
"";"";"";"ALCIDEIA";"F";"ALCIDEIA (ASDI)";"ASDI";"|ALCIDEIA|"
"";"";"";"ALCIDEMAR";"M";"ALCIDEMAR (ASDMR)";"ASDMR";"|ALCIDEMA|ALCIDEMAR|"
"";"";"";"ALCIDEMIR";"M";"ALCIDEMIR (ASDMR)";"ASDMR";"|ALCIDEMIR|"
"";"";"";"ALCIDENE";"F";"ALCIDENE (ASD)";"ASD";"|ALCIDENE|"
"";"";"";"ALCIDENIR";"M";"ALCIDENIR (ASDR)";"ASDR";"|ALCIDENEI|ALCIDENIR|"
"";"";"";"ALCIDENES";"M";"ALCIDENES (ASDS)";"ASDS";"|ALCIDENES|"
"";"";"";"ALCIDENIA";"F";"ALCIDENIA (ASD)";"ASD";"|ALCIDENIA|"
"";"";"";"ALCIDENOR";"M";"ALCIDENOR (ASDR)";"ASDR";"|ALCIDENOR|"
"";"";"";"ALCIDES";"M";"ALCIDES (ASDS)";"ASDS";"|ALCEIDES|ALCIDES|ALCIDEZ|ELCIDES|"
"";"";"";"ALCIDESIA";"F";"ALCIDESIA (ASDS)";"ASDS";"|ALCIDESIA|ALCIDEZIA|"
"";"";"";"ALCIDESIO";"M";"ALCIDESIO (ASDS)";"ASDS";"|ALCIDESIO|ALCIDEZIO|"
"";"";"";"ALCIDETE";"F";"ALCIDETE (ASDT)";"ASDT";"|ALCIDETE|"
"";"";"";"ALCIDIANE";"F";"ALCIDIANE (ASD)";"ASD";"|ALCIDIANE|"
"";"";"";"ALCIDIMAR";"M";"ALCIDIMAR (ASDMR)";"ASDMR";"|ALCIDIMAR|"
"";"";"";"ALCIDINA";"F";"ALCIDINA (ASD)";"ASD";"|ALCIDINA|"
"";"";"";"ALCIDINEI";"M";"ALCIDINEI (ASD)";"ASD";"|ALCIDINEI|ALCIDINEY|"
"";"";"";"ALCIDINEIA";"F";"ALCIDINEIA (ASDI)";"ASDI";"|ALCIDINEIA|"
"";"";"";"ALCIDI";"M";"ALCIDI (ASD)";"ASD";"|ALCIDI|ALCIDIR|"
"";"";"";"ALCIDNEI";"M";"ALCIDNEI (ASD)";"ASD";"|ALCIDNEI|ALCIDNEY|"
"";"";"";"ALCIDO";"M";"ALCIDO (ASD)";"ASD";"|ALCIDO|ALCIDOR|ELCIDO|"
"";"";"";"ALCIDONE";"M";"ALCIDONE (ASD)";"ASD";"|ALCIDONE|"
"";"";"";"ALCIELE";"F";"ALCIELE (AS)";"AS";"|ALCIELE|ALCILE|ALCIOLE|ELCIELE|"
"";"";"";"ALCIENE";"F";"ALCIENE (AS)";"AS";"|ALCIENE|ELCIENE|LCIENE|"
"";"";"";"ALCIENI";"F";"ALCIENI (AS)";"AS";"|ALCIENI|"
"";"";"";"ALCIETE";"F";"ALCIETE (AST)";"AST";"|ALCIETE|ELCIETE|"
"";"";"";"ALCIFRAN";"M";"ALCIFRAN (ASFRM)";"ASFRM";"|ALCIFRAN|"
"";"";"";"ALCIJANE";"F";"ALCIJANE (ASJ)";"ASJ";"|ALCIJANE|"
"";"";"";"ALCILA";"F";"ALCILA (ASl)";"ASl";"|ALCILA|ELCILA|"
"";"";"";"ALCILAINE";"F";"ALCILAINE (ASl)";"ASl";"|ALCILAINE|ALCILIANE|ELCILAINE|"
"";"";"";"ALCILANDIA";"F";"ALCILANDIA (ASlD)";"ASlD";"|ALCILANDIA|"
"";"";"";"ALCILANE";"F";"ALCILANE (ASl)";"ASl";"|ALCELANE|ALCILANE|ELCILANE|ILCILANE|"
"";"";"";"ALCILANIA";"F";"ALCILANIA (ASl)";"ASl";"|ALCILANIA|"
"";"";"";"ALCILEA";"F";"ALCILEA (AS)";"AS";"|ALCILEA|"
"";"";"";"ALCILEDE";"F";"ALCILEDE (ASD)";"ASD";"|ALCILEDE|"
"";"";"";"ALCILEIA";"F";"ALCILEIA (ASI)";"ASI";"|ALCILEIA|ELCILEIA|ILCILEIA|ILCLEIA|"
"";"";"";"ALCILEIDE";"F";"ALCILEIDE (ASD)";"ASD";"|ALCILEIDE|ELCILEIDE|ELCLIDE|"
"";"";"";"ALCILENA";"F";"ALCILENA (AS)";"AS";"|ALCILENA|"
"";"";"";"ALCILENI";"F";"ALCILENI (AS)";"AS";"|ALCILENI|ELCILENI|"
"";"";"";"ALCILENO";"M";"ALCILENO (AS)";"AS";"|ALCILENO|"
"";"";"";"ALCILETE";"F";"ALCILETE (AST)";"AST";"|ALCILETE|"
"";"";"";"ALCIMAR";"M";"ALCIMAR (ASMR)";"ASMR";"|ALCIMA|ALCIMAR|ELCIMA|ELCIMAR|HELCIMAR|ILCIMAR|OLCIMAR|ULCIMAR|"
"";"";"";"ALCIMARA";"F";"ALCIMARA (ASMR)";"ASMR";"|ALCIMARA|ELCIMARA|ILCIMARA|LCIMARA|"
"";"";"";"ALCIMARI";"F";"ALCIMARI (ASMR)";"ASMR";"|ALCIMARI|"
"";"";"";"ALCIMARIA";"F";"ALCIMARIA (ASMR)";"ASMR";"|ALCIMARIA|ELCIMARIA|"
"";"";"";"ALCIMARIO";"M";"ALCIMARIO (ASMR)";"ASMR";"|ALCIMARIO|ELCIMARIO|"
"";"";"";"ALCIMEIA";"F";"ALCIMEIA (ASMI)";"ASMI";"|ALCIMEIA|"
"";"";"";"ALCIMEIRE";"F";"ALCIMEIRE (ASM)";"ASM";"|ALCIMEIRE|ELCIMEIRE|"
"";"";"";"ALCIMERE";"F";"ALCIMERE (ASM)";"ASM";"|ALCIMERE|"
"";"";"";"ALCIMERI";"F";"ALCIMERI (ASM)";"ASM";"|ALCIMERI|"
"";"";"";"ALCIMIR";"M";"ALCIMIR (ASMR)";"ASMR";"|ALCIMIR|"
"";"";"";"ALCIMIRA";"F";"ALCIMIRA (ASM)";"ASM";"|ALCIMIRA|"
"";"";"";"ALCIMIRO";"M";"ALCIMIRO (ASM)";"ASM";"|ALCIMIRO|"
"";"";"";"ALCIMO";"M";"ALCIMO (ASM)";"ASM";"|ALCIMO|"
"";"";"";"ALCIMONE";"F";"ALCIMONE (ASM)";"ASM";"|ALCIMONE|ELCIMONE|"
"";"";"";"ALCINA";"F";"ALCINA (AS)";"AS";"|ALCINA|ALCINAR|ELCINA|"
"";"";"";"ALCINARA";"F";"ALCINARA (ASR)";"ASR";"|ALCINARA|ELCINARA|"
"";"";"";"ALCINARIA";"F";"ALCINARIA (ASR)";"ASR";"|ALCINARIA|"
"";"";"";"ALCINDA";"F";"ALCINDA (ASD)";"ASD";"|ALCINDA|ALKINDAR|ELCINDA|"
"";"";"";"ALCINDINO";"M";"ALCINDINO (ASD)";"ASD";"|ALCINDINO|"
"";"";"";"ALCINDO";"M";"ALCINDO (ASD)";"ASD";"|ALCINDO|ALCINDOR|ELCINDO|"
"";"";"";"ALCINE";"F";"ALCINE (AS)";"AS";"|ALCINE|ELCINE|"
"";"";"";"ALCINEA";"F";"ALCINEA (AS)";"AS";"|ALCINEA|ELCINEA|ILCINEA|"
"";"";"";"ALCINEDE";"F";"ALCINEDE (ASD)";"ASD";"|ALCINEDE|"
"";"";"";"ALCINEI";"M";"ALCINEI (AS)";"AS";"|ALCINEI|ALCINEY|ALCINI|ALCINIR|ELCINEI|ELCINEY|ILCINEI|"
"";"";"";"ALCINEIA";"F";"ALCINEIA (ASI)";"ASI";"|ALCINEIA|ELCINEIA|ILCINEIA|LCINEIA|"
"";"";"";"ALCINEIDE";"F";"ALCINEIDE (ASD)";"ASD";"|ALCINEIDE|ELCINEIDE|ILCINEIDE|LCINEIDE|"
"";"";"";"ALCINELE";"F";"ALCINELE (AS)";"AS";"|ALCINELE|"
"";"";"";"ALCINELIA";"F";"ALCINELIA (AS)";"AS";"|ALCINELIA|"
"";"";"";"ALCINES";"M";"ALCINES (ASS)";"ASS";"|ALCINES|"
"";"";"";"ALCINESIO";"M";"ALCINESIO (ASS)";"ASS";"|ALCINESIO|"
"";"";"";"ALCINETE";"F";"ALCINETE (AST)";"AST";"|ALCINETE|ELCINETE|ILCINETE|"
"";"";"";"ALCINEU";"M";"ALCINEU (AS)";"AS";"|ALCINEU|"
"";"";"";"ALCINIA";"F";"ALCINIA (AS)";"AS";"|ALCINIA|"
"";"";"";"ALCINIO";"M";"ALCINIO (AS)";"AS";"|ALCINIO|"
"";"";"";"ALCINIRA";"F";"ALCINIRA (AS)";"AS";"|ALCINIRA|"
