name,classification,parse,name_variations
CALOS,M,CALOS (KlS),|CAELOS|CALOS|KALOS|
CALU,F,CALU (Kl),|CALU|KALU|
KALUAN,M,KALUAN (KlM),|CALUAN|KALUAN|
KALUANA,F,KALUANA (Kl),|CALUANA|KALUANA|
CLUDIA,F,CLUDIA (KlD),|CALUDIA|CLUDIA|
CLUDIO,M,CLUDIO (KlD),|CALUDIO|CLOUDIO|CLUDIO|
KELVIN,M,KELVIN (KVM),|CALVIM|CALVIN|KALVIN|KELVIM|KELVIN|KELVINN|KELVYM|KELVYN|KHELVIN|
CELVINO,M,CELVINO (SV),|CALVINO|CELVINO|CILVINO|
KAMANDA,F,KAMANDA (KMD),|CAMANDA|KAMANDA|
CAMARGO,M,CAMARGO (KMRG),|CAMARGO|
CAMIL,M,CAMIL (KM),|CAMAEL|CAMAL|CAMEL|CAMIL|KAMAL|KAMEL|KAMIL|
CAMELIA,F,CAMELIA (KM),|CAMELIA|CAMILIA|
CAMEM,F,CAMEM (KMM),|CAMEM|CAMEN|
CAMERINA,F,CAMERINA (KM),|CAMERINA|
CAMERINO,M,CAMERINO (KM),|CAMERINO|
CAMERON,M,CAMERON (KMM),|CAMERON|KAMERON|
CAMILA,F,CAMILA (KMl),|CAMELA|CAMIILA|CAMILA|CAMLA|CAMMILA|CAMOLA|CAMULA|CAMYLA|KAMALA|KAMILA|KAMILAH|KAMLA|KAMMILA|KAMYLA|
CAMILE,F,CAMILE (KM),|CAMIELE|CAMILE|CAMILHE|CAMLE|CAMYLE|KAMILE|KAMYLE|
CAMILES,F,CAMILES (KMS),|CAMILES|
CAMILI,F,CAMILI (KM),|CAMELI|CAMILI|CAMILY|CAMLI|CAMMILY|CAMYLI|CAMYLY|KAMILI|KAMILY|KAMMILY|KAMYLI|KAMYLY|
CAMILIANE,F,CAMILIANE (KM),|CAMILIANE|
CAMILIE,F,CAMILIE (KM),|CAMILIE|
CAMILIO,M,CAMILIO (KM),|CAMILIO|
CAMILLA,F,CAMILLA (KMl),|CAMILLA|CAMYLLA|KAMILLA|KAMYLLA|
CAMILLE,F,CAMILLE (KM),|CAMILLE|CAMYLLE|KAMILLE|KAMYLLE|
CAMILLY,F,CAMILLY (KMI),|CAMILLI|CAMILLY|CAMLLY|CAMYLLI|CAMYLLY|KAMILLI|KAMILLY|KAMLLY|KAMMILLY|KAMYLLI|KAMYLLY|
CAMILLO,M,CAMILLO (KMl),|CAMILLO|KAMILLO|
CAMILO,M,CAMILO (KMl),|CAMILO|KAMILO|
CAMILTON,M,CAMILTON (KMTM),|CAMILTON|
CAMIRES,F,CAMIRES (KMS),|CAMIRES|KAMIRES|
CAMOES,M,CAMOES (KMS),|CAMOES|
CAMPOLIM,M,CAMPOLIM (KMPM),|CAMPOLIM|CAMPOLIN|
CANAA,F,CANAA (K),|CANA|CANAA|KANA|
CANAAN,M,CANAAN (KM),|CANAAN|CANAN|KANAN|
KANANDA,F,KANANDA (KD),|CANANDA|KANANDA|KANNANDA|
CANANEIA,F,CANANEIA (KI),|CANANEIA|
CANCIO,M,CANCIO (KS),|CANCIO|
CANDACE,F,CANDACE (KDS),|CANDACE|
CANDELARIA,F,CANDELARIA (KDlR),|CANDELARIA|
CANDELARIO,M,CANDELARIO (KDlR),|CANDELARIO|
CANDY,F,CANDY (KDI),|CANDI|CANDY|
CANDICE,F,CANDICE (KDS),|CANDICE|KANDICE|
CANDIDA,F,CANDIDA (KDD),|CANDIDA|KANDIDA|
CANDIDO,M,CANDIDO (KDD),|CANDIDO|
CANDINHA,F,CANDINHA (KD3),|CANDINA|CANDINHA|
CANDINHO,M,CANDINHO (KD3),|CANDINHO|
CANDISSE,F,CANDISSE (KDS),|CANDISSE|
CANICIO,M,CANICIO (KS),|CANICIO|
CANIDA,F,CANIDA (KD),|CANIDA|
CANIDIA,M,CANIDIA (KD),|CANIDIA|KANIDIA|
CANILA,F,CANILA (Kl),|CANILA|KANILA|
CANINDE,M,CANINDE (KD),|CANINDE|
CANISIO,M,CANISIO (KS),|CANISIO|CANIZIO|
CANROBERT,M,CANROBERT (KRBRT),|CANROBERT|
CANTALICE,F,CANTALICE (KTS),|CANTALICE|
CANTALICIA,F,CANTALICIA (KTS),|CANTALICIA|
CANTALICIO,M,CANTALICIO (KTS),|CANTALICIO|
CANTIDIA,F,CANTIDIA (KTD),|CANTIDIA|
CANTIDIANO,M,CANTIDIANO (KTD),|CANTIDIANO|
CANTIDIO,M,CANTIDIO (KTD),|CANTIDIO|
CANTILIA,F,CANTILIA (KT),|CANTILIA|
CANTILIANO,M,CANTILIANO (KT),|CANTILIANO|
CANTUARIA,F,CANTUARIA (KTR),|CANTUARIA|
CANTUARIO,M,CANTUARIO (KTR),|CANTUARIO|
CANUTA,F,CANUTA (KT),|CANUTA|
CANUTO,M,CANUTO (KT),|CANUTO|
KAOANE,F,KAOANE (K),|CAOANE|KAOANE|
KAOE,M,KAOE (K),|CAOE|KAOE|
KAOMA,F,KAOMA (KM),|CAOMA|KAOMA|
CAPISTRANO,M,CAPISTRANO (KPSTR),|CAPISTRANO|
CAPITULINO,M,CAPITULINO (KPT),|CAPITULINO|
CAPRICE,F,CAPRICE (KPRS),|CAPRICE|
CARA,F,CARA (KR),|CARA|KARA|
CARCIA,F,CARCIA (KRS),|CARCIA|KARCIA|
CARCIANO,M,CARCIANO (KRS),|CARCIANO|
CARCILENE,F,CARCILENE (KRS),|CARCILENE|
CARCIO,M,CARCIO (KRS),|CARCIO|KARCIO|
KARDEC,M,KARDEC (KRDK),|CARDEC|KARDEC|
CARDENIA,F,CARDENIA (KRD),|CARDENIA|
CARDIANE,F,CARDIANE (KRD),|CARDIANE|
CARDINALE,F,CARDINALE (KRD),|CARDINALE|
CARDIVANDO,M,CARDIVANDO (KRDVD),|CARDIVANDO|
CARDOSO,M,CARDOSO (KRDS),|CARDOSO|CARDOZO|
CARDOVAN,M,CARDOVAN (KRDVM),|CARDOVAN|
KARE,F,KARE (KR),|CARE|KARE|
KAREN,F,KAREN (KRM),|CAREM|CAREN|KAREM|KAREN|KARENN|KARREN|KHAREN|
KARENE,F,KARENE (KR),|CARENE|KARENE|
KARENINA,F,KARENINA (KR),|CARENINA|KARENINA|
KARES,F,KARES (KRS),|CARES|KARES|
KARI,F,KARI (KR),|CARI|CARY|KAREY|KARI|KARRY|KARY|
KARIANA,F,KARIANA (KR),|CARIANA|KARIANA|
KARIANE,F,KARIANE (KR),|CARIANE|KARIANE|KARIANNE|KARYANE|
CARICE,F,CARICE (KRS),|CARICE|KARICE|
CARICIA,F,CARICIA (KRS),|CARICIA|KARICIA|
CARICIO,M,CARICIO (KRS),|CARICIO|
KARIE,F,KARIE (KR),|CARIE|CARRIE|KARIE|
CAROL,F,CAROL (KR),|CAREL|CARIEL|CARIL|CARL|CAROL|KAREL|KARIEL|KARL|KAROL|
KARIELE,F,KARIELE (KR),|CARIELE|CARILE|CARLE|CAROLE|KARIELE|KARILE|KARLE|KAROLE|
CARLI,F,CARLI (KR),|CARIELI|CARLEI|CARLEY|CARLI|CARLY|CAROLI|CAROLY|KARIELI|KARIELY|KARLEI|KARLEY|KARLI|KARLY|KAROLI|KAROLY|
KARIENE,F,KARIENE (KR),|CARIENE|KARIENE|
CARLA,F,CARLA (KRl),|CARALA|CARILA|CARLA|CARLAR|CAROLA|KARILA|KARLA|KAROLA|KHARLA|
CAROLANE,F,CAROLANE (KRl),|CARILANE|CARIOLANE|CARLANE|CAROLANE|KARILANE|KARLANE|KAROLANE|
CARLENE,F,CARLENE (KR),|CARILENE|CARLENE|CAROLAENE|CAROLENE|KARILENE|KARLENE|KAROLENE|
KARIN,F,KARIN (KRM),|CARIM|CARIN|CARYN|KAREIN|KARIM|KARIN|KARYM|KARYN|
KARIMA,F,KARIMA (KRM),|CARIMA|KARIMA|
KARIME,F,KARIME (KRM),|CARIME|KARIME|KARYME|
KARINA,F,KARINA (KR),|CAARINA|CARINA|CARINNA|CARRINA|CARYNA|KARINA|KARINNA|KARYNA|KARYNNA|KHARINA|
KARINE,F,KARINE (KR),|CARINE|CARINNE|CARYNE|KARINE|KARINNE|KARYNE|KARYNNE|KHARINE|
KARINY,F,KARINY (KRI),|CARINI|CARINNY|CARINY|KARINI|KARINNI|KARINNY|KARINY|KARYNI|KARYNNY|KARYNY|
CARINO,M,CARINO (KR),|CARINO|
CARIO,M,CARIO (KR),|CARIO|KARIO|
CARIOLANDA,F,CARIOLANDA (KRlD),|CARIOLANDA|
CARIOLANDO,M,CARIOLANDO (KRlD),|CARIOLANDO|
CARIOLANO,M,CARIOLANO (KRl),|CARIOLANO|CARLANO|
CARIOSVALDO,M,CARIOSVALDO (KRSVD),|CARIOSVALDO|
CARIOVALDO,M,CARIOVALDO (KRVD),|CARIOVALDO|
KARIS,F,KARIS (KRS),|CARIS|KARIS|
KARISA,F,KARISA (KRS),|CARISA|CARIZA|KARISA|KARIZA|
KARISE,F,KARISE (KRS),|CARISE|CARIZE|KARISE|KARIZE|
KARISIA,F,KARISIA (KRS),|CARISIA|CARIZIA|KARISIA|KARIZIA|
CARISIANE,F,CARISIANE (KRS),|CARISIANE|
KARISON,M,KARISON (KRSM),|CARISON|KARISON|
KARISSA,F,KARISSA (KRS),|CARISSA|KARISSA|
KARISSON,M,KARISSON (KRS),|CARISSON|KARISSON|
KARISTON,M,KARISTON (KRSTM),|CARISTON|KARISTON|
CARISVALDO,M,CARISVALDO (KRSVD),|CARISVALDO|
KARITA,F,KARITA (KRT),|CARITA|KARITA|KARITHA|KARYTA|
CARITAS,F,CARITAS (KRTS),|CARITAS|KARITAS|
KARITON,M,KARITON (KRTM),|CARITON|KARITON|
CARIVALDO,M,CARIVALDO (KRVD),|CARIVALDO|KARIVALDO|
CARLYLE,M,CARLYLE (KRI),|CARIELLE|CARLAILE|CARLAYLE|CARLIELE|CARLILE|CARLYLE|KARIELLE|
CAROLAINE,F,CAROLAINE (KRl),|CARALAINE|CARILAINE|CARLAINE|CARLAYNE|CARLIANE|CARLIANNE|CARLYANE|CAROLAINE|CAROLAINNE|CAROLAYNE|CAROLAYNNE|CAROLIANE|KARILAINE|KARLAINE|KARLAYNE|KARLIANE|KARLIANNE|KARLYANE|KAROLAINE|KAROLAINNE|KAROLAYNE|KAROLAYNNE|
CARLAN,M,CARLAN (KRlM),|CARLAN|KARLAN|
CARLANA,F,CARLANA (KRl),|CARLANA|KARLANA|
CARLANDIA,F,CARLANDIA (KRlD),|CARLANDIA|
CARLANGELA,F,CARLANGELA (KRlJl),|CARLANGELA|
CAROLANI,F,CAROLANI (KRl),|CARLANI|CAROLANI|CAROLANY|KARLANY|KAROLANI|KAROLANY|
CARLANIA,F,CARLANIA (KRl),|CARLANIA|CAROLANIA|
CARLAS,F,CARLAS (KRlS),|CARLAS|KARLAS|
CARLEA,F,CARLEA (KR),|CARLEA|
CARLEAN,M,CARLEAN (KRM),|CARLEAN|KARLEAN|
CARLEANA,F,CARLEANA (KR),|CARLEANA|
CARLEANDERSON,M,CARLEANDERSON (KRDRSM),|CARLEANDERSON|
CARLEANDRA,F,CARLEANDRA (KRDR),|CARLEANDRA|KARLEANDRA|
CARLEANDRO,M,CARLEANDRO (KRDR),|CARLEANDRO|KARLEANDRO|
CARLEANE,F,CARLEANE (KR),|CARLEANE|KARLEANE|
CARLEANI,F,CARLEANI (KR),|CARLEANI|KARLEANI|KARLEANY|
CARLECI,F,CARLECI (KRS),|CARLECI|CARLECY|
CARLECIO,M,CARLECIO (KRS),|CARLECIO|
CARLEIA,F,CARLEIA (KRI),|CARLEIA|
CARLEIDE,F,CARLEIDE (KRD),|CARLEIDE|KARLEIDE|
CARLEILSON,M,CARLEILSON (KRSM),|CARLEILSON|CARLIELSON|CARLILSON|
CARLEILTON,M,CARLEILTON (KRTM),|CARLEILTON|CARLIELTON|
CARLISE,F,CARLISE (KRS),|CARLEISE|CARLISE|CARLIZE|KARLISE|KARLIZE|
CARLISON,M,CARLISON (KRSM),|CARLEISON|CARLISOM|CARLISON|CARLYSON|KARLISON|KARLYSON|
CARLEN,F,CARLEN (KRM),|CARIELEN|CARLEM|CARLEN|CAROLEN|KARIELEN|KARLEM|KARLEN|KAROLEN|
CARLENA,F,CARLENA (KR),|CARLENA|KARILENA|KARLENA|
CARLENI,F,CARLENI (KR),|CARLENI|CARLENY|KARLENI|KARLENY|
CARLENIA,F,CARLENIA (KR),|CARLENIA|
CARLENILDA,F,CARLENILDA (KRD),|CARLENILDA|
CARLENILDE,F,CARLENILDE (KRD),|CARLENILDE|
CARLENILDO,M,CARLENILDO (KRD),|CARLENILDO|
CARLENO,M,CARLENO (KR),|CARLENO|KARLENO|
CARLEON,M,CARLEON (KRM),|CARLEON|
CARLEONDAS,M,CARLEONDAS (KRDS),|CARLEONDAS|
CARLEONE,M,CARLEONE (KR),|CARLEONE|
CARLEONES,M,CARLEONES (KRS),|CARLEONES|
CARLES,M,CARLES (KRS),|CARLES|
CARLESIO,M,CARLESIO (KRS),|CARLESIO|
CARLESON,M,CARLESON (KRSM),|CARLESON|
CARLESSANDRA,F,CARLESSANDRA (KRSDR),|CARLESSANDRA|
CARLESSANDRO,M,CARLESSANDRO (KRSDR),|CARLESSANDRO|
CARLESSON,M,CARLESSON (KRS),|CARLESSON|
CARLETE,F,CARLETE (KRT),|CARLETE|KARLETE|
CARLETO,M,CARLETO (KRT),|CARLETO|
CARLEUDO,M,CARLEUDO (KRD),|CARLEUDO|
CARLEUZA,F,CARLEUZA (KRZ),|CARLEUSA|CARLEUZA|
CARLESIA,F,CARLESIA (KRS),|CARLESIA|CARLEZIA|
CAROLAI,F,CAROLAI (KRl),|CARLAI|CARLAY|CARLIA|CAROLAI|CAROLAY|CAROLIA|KAROLAI|KAROLAY|
CAROLAIN,F,CAROLAIN (KRlM),|CARLIAN|CAROLAIN|KAROLAIN|KAROLAYN|
CARLIANA,F,CARLIANA (KR),|CARLIANA|CAROLAINA|KARLIANA|KAROLAINA|
CARLIANDRA,F,CARLIANDRA (KRDR),|CARLIANDRA|
KAROLAINY,F,KAROLAINY (KRlI),|CARLIANI|CARLIANY|CAROLAINI|CAROLAINY|CAROLAYNI|CAROLAYNY|KARLIANY|KAROLAINI|KAROLAINNY|KAROLAINY|KAROLAYNI|KAROLAYNY|
CARLIANO,M,CARLIANO (KR),|CARLIANO|
CARLICE,F,CARLICE (KRS),|CARLICE|
CARLICIO,M,CARLICIO (KRS),|CARLICIO|
CARLIENE,F,CARLIENE (KR),|CARLIENE|KARLIENE|
CARLIETE,F,CARLIETE (KRT),|CARLIETE|
KARLLA,F,KARLLA (KRl),|CARLILA|CARLLA|KARILLA|KARLLA|
KARIELLY,F,KARIELLY (KRI),|CARLIELI|CARLILI|KARIELLI|KARIELLY|KARLLY|KAROLLY|
CAROLIN,F,CAROLIN (KRM),|CARLIM|CARLIN|CAROLIM|CAROLIN|CAROLINR|CAROLYN|KARLIN|KAROLIN|KAROLYN|
CAROLINA,F,CAROLINA (KR),|CARALINA|CARILINA|CARLINA|CARLINHA|CAROLINA|CAROLINNA|CAROLYNA|CARROLINA|CARULINA|KARLINA|KAROLINA|KAROLINNA|KAROLYNA|KARULINA|
CARLINDA,F,CARLINDA (KRD),|CARLINDA|CAROLINDA|KARLINDA|
CARLINDO,M,CARLINDO (KRD),|CARLINDO|
CARLINDOMAR,M,CARLINDOMAR (KRDMR),|CARLINDOMAR|
CAROLINE,F,CAROLINE (KR),|CARALINE|CARILINE|CARLINE|CARLYNE|CAROLEINE|CAROLINE|CAROLINHE|CAROLINNE|CAROLYNE|CAROLYNNE|CARROLINE|CARULINE|KARELINE|KARILINE|KARLINE|KARLYNE|KAROLINE|KAROLINNE|KAROLYNE|KAROLYNNE|KARULINE|
CARLINEIDE,F,CARLINEIDE (KRD),|CARLINEIDE|
CARLINETE,F,CARLINETE (KRT),|CARLINETE|
CARLINHO,M,CARLINHO (KR3),|CARLINHO|CARLINO|CAROLINO|
CARLINHOS,M,CARLINHOS (KR3S),|CARLINHOS|
CAROLINI,F,CAROLINI (KR),|CARLINEI|CARLINI|CAROLINI|CAROLINNY|CAROLINY|CAROLYNI|CAROLYNY|CARULINI|KARLINY|KAROLINI|KAROLINNY|KAROLINY|KAROLYNI|KAROLYNY|
CAROLINS,F,CAROLINS (KRS),|CARLINS|CAROLINS|
CARLIO,M,CARLIO (KR),|CARLIO|
CARLIOMAR,M,CARLIOMAR (KRMR),|CARLIOMAR|
CARLIONE,M,CARLIONE (KR),|CARLIONE|
CARLIS,M,CARLIS (KRS),|CARLIS|
CARLIZA,F,CARLIZA (KRZ),|CARLISA|CARLIZA|
CARLISANGELA,F,CARLISANGELA (KRSJl),|CARLISANGELA|CARLIZANGELA|
CARLISMAR,M,CARLISMAR (KRSMR),|CARLISMAR|
CARLISSON,M,CARLISSON (KRS),|CARLISSOM|CARLISSON|CARLYSSON|KARLISSON|
CARLISTON,M,CARLISTON (KRSTM),|CARLISTON|
CARLISVAN,M,CARLISVAN (KRSVM),|CARLISVAN|
CARLITA,F,CARLITA (KRT),|CARLITA|
CARLITO,M,CARLITO (KRT),|CARLITO|KARLITO|
CARLITOS,M,CARLITOS (KRTS),|CARLITOS|
CARLIVAN,M,CARLIVAN (KRVM),|CARLIVAN|
CARLIVANIA,F,CARLIVANIA (KRV),|CARLIVANIA|
CARLIZETE,F,CARLIZETE (KRZT),|CARLIZETE|
CARLLOS,M,CARLLOS (KRlS),|CARLLOS|KARLLOS|
CARLO,M,CARLO (KRl),|CARLO|CARLOR|KARLO|
CARLOCI,M,CARLOCI (KRlS),|CARLOCI|
CARLOD,M,CARLOD (KRlD),|CARLOD|
CAROLLINE,F,CAROLLINE (KR),|CARLOLINE|CAROLLINE|CAROLLYNE|KAROLLINE|KAROLLINNE|KAROLLYNE|KAROLLYNNE|
CARLOMAN,M,CARLOMAN (KRlMM),|CARLOMAM|CARLOMAN|
CARLOMAR,M,CARLOMAR (KRlMR),|CARLOMAR|
CARLON,M,CARLON (KRlM),|CARLON|KARLON|
CAROLONE,F,CAROLONE (KRl),|CARLONE|CAROLONE|
CARLOS,M,CARLOS (KRlS),|CARLOS|CARLOZ|CARRLOS|KARLOS|
CARLOSMAN,M,CARLOSMAN (KRlSMM),|CARLOSMAN|
CARLOSMAR,M,CARLOSMAR (KRlSMR),|CARLOSMAR|
CARLOTA,F,CARLOTA (KRlT),|CARLOTA|KARLOTA|
CARLOTO,M,CARLOTO (KRlT),|CARLOTO|
CARLOTTA,F,CARLOTTA (KRlTT),|CARLOTTA|
CARLS,M,CARLS (KRS),|CARLS|
CARLSON,M,CARLSON (KRSM),|CARLSON|KARLSON|
CARLTON,M,CARLTON (KRTM),|CARLTON|
CARLUANA,F,CARLUANA (KRl),|CARLUANA|
CARLUCE,F,CARLUCE (KRlS),|CARLUCE|
CARLUCI,F,CARLUCI (KRlS),|CARLUCI|
CARLUCIA,F,CARLUCIA (KRlS),|CARLUCIA|KARLUCIA|
CARLUCIO,M,CARLUCIO (KRlS),|CARLUCIO|KARLUCIO|
CARLUS,M,CARLUS (KRlS),|CARLUS|KARLUS|
CARLUZA,F,CARLUZA (KRlZ),|CARLUZA|
CARLUZIA,F,CARLUZIA (KRlZ),|CARLUZIA|
CARMA,F,CARMA (KRM),|CARMA|
CARME,F,CARME (KRM),|CARME|CARMER|KARME|
CARMECI,F,CARMECI (KRMS),|CARMECI|CARMECIR|CARMECY|
CARMECILDA,F,CARMECILDA (KRMSD),|CARMECILDA|
CARMECITA,F,CARMECITA (KRMST),|CARMECITA|
CARMEL,F,CARMEL (KRM),|CARMEL|KARMEL|
CARMELA,F,CARMELA (KRMl),|CARMELA|CARMELHA|CARMILA|
CARMELENA,F,CARMELENA (KRM),|CARMELENA|
CARMILENE,F,CARMILENE (KRM),|CARMELENE|CARMILENE|
CARMELIA,F,CARMELIA (KRM),|CARMELIA|CARMILIA|KARMELIA|
CARMELIANA,F,CARMELIANA (KRM),|CARMELIANA|
CARMELICE,F,CARMELICE (KRMS),|CARMELICE|
CARMELICIA,F,CARMELICIA (KRMS),|CARMELICIA|
CARMELINA,F,CARMELINA (KRM),|CARMELINA|CARMILINA|
CARMELINDA,F,CARMELINDA (KRMD),|CARMELINDA|CARMILINDA|
CARMELINDO,M,CARMELINDO (KRMD),|CARMELINDO|
CARMELINE,F,CARMELINE (KRM),|CARMELINE|
CARMELINO,M,CARMELINO (KRM),|CARMELINO|
CARMELIO,M,CARMELIO (KRM),|CARMELIO|
CARMELIZA,F,CARMELIZA (KRMZ),|CARMELISA|CARMELIZA|
CARMELISE,F,CARMELISE (KRMS),|CARMELISE|
CARMELITA,F,CARMELITA (KRMT),|CARMELITA|CARMILITA|CARMLITA|KARMELITA|
CARMELITO,M,CARMELITO (KRMT),|CARMELITO|
CARMELLA,F,CARMELLA (KRMl),|CARMELLA|
CARMELO,M,CARMELO (KRMl),|CARMELHO|CARMELO|CARMILO|
CARMELUCE,F,CARMELUCE (KRMlS),|CARMELUCE|
CARMELUCIA,F,CARMELUCIA (KRMlS),|CARMELUCIA|CARMILUCIA|
CARMEM,F,CARMEM (KRMM),|CARMEM|CARMEN|KARMEM|KARMEN|
CARMEMLUCIA,F,CARMEMLUCIA (KRMMlS),|CARMEMLUCIA|
CARMENA,F,CARMENA (KRM),|CARMENA|
CARMENCI,F,CARMENCI (KRMS),|CARMENCI|
CARMENCITA,F,CARMENCITA (KRMST),|CARMENCITA|
CARMENI,F,CARMENI (KRM),|CARMENI|
CARMENIA,F,CARMENIA (KRM),|CARMENIA|
CARMENICE,F,CARMENICE (KRMS),|CARMENICE|
CARMENILDA,F,CARMENILDA (KRMD),|CARMENILDA|
CARMENILZA,F,CARMENILZA (KRMZ),|CARMENILZA|
CARMENIO,M,CARMENIO (KRM),|CARMENIO|
CARMENLUCIA,F,CARMENLUCIA (KRMlS),|CARMENLUCIA|
CARMENSILVA,F,CARMENSILVA (KRMSV),|CARMENSILVA|
CARMENSITA,F,CARMENSITA (KRMST),|CARMENSITA|CARMENZITA|
CARMERINA,F,CARMERINA (KRM),|CARMERINA|
CARMERINDA,F,CARMERINDA (KRMD),|CARMERINDA|
CARMERINDO,M,CARMERINDO (KRMD),|CARMERINDO|
CARMERINO,M,CARMERINO (KRM),|CARMERINO|
CARMES,F,CARMES (KRMS),|CARMES|
CARMESIA,F,CARMESIA (KRMS),|CARMESIA|
CARMESILVA,F,CARMESILVA (KRMSV),|CARMESILVA|
CARMESINA,F,CARMESINA (KRMS),|CARMESINA|CARMEZINA|
CARMEZITA,F,CARMEZITA (KRMZT),|CARMESITA|CARMEZITA|
CARMEZINDA,F,CARMEZINDA (KRMZD),|CARMESINDA|CARMEZINDA|
CARMI,F,CARMI (KRM),|CARMI|CARMY|
CARMIA,F,CARMIA (KRM),|CARMIA|
CARMIANE,F,CARMIANE (KRM),|CARMIANE|
CARMICELIA,F,CARMICELIA (KRMS),|CARMICELIA|
CARMILE,F,CARMILE (KRM),|CARMELE|CARMILE|
CARMILEIDE,F,CARMILEIDE (KRMD),|CARMILEIDE|
CARMILSON,M,CARMILSON (KRMSM),|CARMILSON|
CARMILTO,M,CARMILTO (KRMT),|CARMILTO|
CARMILTON,M,CARMILTON (KRMTM),|CARMILTON|
CARMIM,F,CARMIM (KRMM),|CARMIM|CARMIN|
CARMINA,F,CARMINA (KRM),|CARMINA|CARMINHA|KARMINA|
CARMINDA,F,CARMINDA (KRMD),|CARMINDA|
CARMINDO,M,CARMINDO (KRMD),|CARMINDO|
CARMINE,M,CARMINE (KRM),|CARMINE|
CARMINO,M,CARMINO (KRM),|CARMINHO|CARMINO|
CARMINIO,M,CARMINIO (KRM),|CARMINIO|
CARMIRA,F,CARMIRA (KRM),|CARMIRA|
CARMIRANDA,F,CARMIRANDA (KRMD),|CARMIRANDA|
CARMIRANDO,M,CARMIRANDO (KRMD),|CARMIRANDO|
CARMIRENE,F,CARMIRENE (KRM),|CARMIRENE|
CARMITA,F,CARMITA (KRMT),|CARMEITA|CARMITA|
CARMITO,M,CARMITO (KRMT),|CARMITO|
CARMO,M,CARMO (KRM),|CARMO|
CARMON,M,CARMON (KRMM),|CARMON|
CARMONA,M,CARMONA (KRM),|CARMONA|
CARMONIO,M,CARMONIO (KRM),|CARMONIO|
CARMONISA,F,CARMONISA (KRMS),|CARMONISA|CARMONIZA|
CARMOS,M,CARMOS (KRMS),|CARMOS|
CARMOSA,F,CARMOSA (KRMS),|CARMOSA|CARMOZA|
CARMOSINA,F,CARMOSINA (KRMS),|CARMOSINA|CARMOSINHA|CARMOZINA|CARMOZINHA|
CARMOSINO,M,CARMOSINO (KRMS),|CARMOSINO|CARMOZINO|
CARMOSITA,F,CARMOSITA (KRMST),|CARMOSITA|CARMOZITA|
CARMOZINDA,F,CARMOZINDA (KRMZD),|CARMOSINDA|CARMOZINDA|
CARNEM,F,CARNEM (KRM),|CARNEM|CARNEN|
CARNOT,M,CARNOT (KRT),|CARNOT|
CARO,F,CARO (KR),|CARO|
CAROENE,F,CAROENE (KR),|CAROENE|KAROENE|
CAROLINIE,F,CAROLINIE (KR),|CAROLINIE|
CARLIEL,M,CARLIEL (KR),|CARLIEL|CAROLL|KAROLL|
KAROLLAYNE,F,KAROLLAYNE (KRlI),|CAROLLAINE|CAROLLAYNE|KAROLLAINE|KAROLLAYNE|KAROLLAYNNE|
CAROLLINA,F,CAROLLINA (KR),|CARLOLINA|CAROLLINA|KAROLLINA|KAROLLYNA|
KAROLLINY,F,KAROLLINY (KRI),|CAROLLINI|CAROLLINY|KAROLLINI|KAROLLINY|KAROLLYNY|
CARPEGIANE,M,CARPEGIANE (KRPJ),|CARPEGIANE|CARPEJIANE|
CARPEGIANI,M,CARPEGIANI (KRPJ),|CARPEGIANI|
CARPEGIANO,M,CARPEGIANO (KRPJ),|CARPEGIANO|
CARPEJANE,M,CARPEJANE (KRPJ),|CARPEJANE|
CARSIO,M,CARSIO (KRS),|CARSIO|
CARSON,M,CARSON (KRSM),|CARSON|KARSON|
CARSTEN,M,CARSTEN (KRSTM),|CARSTEN|KARSTEN|
CARTEGIANE,M,CARTEGIANE (KRTJ),|CARTEGIANE|
CARTEGIANO,M,CARTEGIANO (KRTJ),|CARTEGIANO|
CARTEJANE,M,CARTEJANE (KRTJ),|CARTEJANE|
CARTER,M,CARTER (KRTR),|CARTER|
CARTIANE,F,CARTIANE (KRT),|CARTIANE|
CARUSA,F,CARUSA (KRS),|CARUSA|
CARUSO,M,CARUSO (KRS),|CARUSO|
CARVALHO,M,CARVALHO (KRV1),|CARVALHO|CARVILHO|
CASANDRA,F,CASANDRA (KSDR),|CASANDRA|KASANDRA|
CASCIA,F,CASCIA (KSS),|CASCIA|
CASCIANO,M,CASCIANO (KSS),|CASCIANO|
CASCIO,M,CASCIO (KSS),|CASCIO|
CASEMIRA,F,CASEMIRA (KSM),|CASEMIRA|
CASEMIRO,M,CASEMIRO (KSM),|CASEMIRO|CAZEMIRO|
CASIA,F,CASIA (KS),|CASIA|KASIA|KAZIA|KAZUYA|
CASIANA,F,CASIANA (KS),|CASIANA|KASIANA|
CASIANE,F,CASIANE (KS),|CASIANE|KASIANE|
CASIANO,M,CASIANO (KS),|CASIANO|KASIANO|
CASILANE,F,CASILANE (KSl),|CASILANE|
CASILDA,F,CASILDA (KSD),|CASILDA|CAZILDA|KASILDA|
CASILDO,M,CASILDO (KSD),|CASILDO|
CASIMIRA,F,CASIMIRA (KSM),|CASIMIRA|
CASIMIRO,M,CASIMIRO (KSM),|CASIMIRO|CAZIMIRO|KASIMIRO|
CASIO,M,CASIO (KS),|CASIO|KASIO|
CASIOS,M,CASIOS (KSS),|CASIOS|
CASIUS,M,CASIUS (KSS),|CASIUS|
